actualGoodsMovementDate,creationDate,deliveryBlockReason,deliveryDocument,hdrGeneralIncompletionStatus,headerBillingBlockReason,lastChangeDate,overallGoodsMovementStatus,overallPickingStatus,overallProofOfDeliveryStatus,shippingPoint,actualGoodsMovementTime_hours,actualGoodsMovementTime_minutes,actualGoodsMovementTime_seconds,actualGoodsMovementTime_formatted,creationTime_hours,creationTime_minutes,creationTime_seconds,creationTime_formatted
,2025-03-31 00:00:00+00:00,,80737721,C,,,A,C,,1920,0,0,0,00:00:00,6,49,13,06:49:13
,2025-03-31 00:00:00+00:00,,80737722,C,,,A,C,,1920,0,0,0,00:00:00,6,49,16,06:49:16
,2025-03-31 00:00:00+00:00,,80737723,C,,,A,C,,1920,0,0,0,00:00:00,11,19,3,11:19:03
,2025-04-02 00:00:00+00:00,,80737921,C,,2025-07-24 00:00:00+00:00,A,C,,KA05,0,0,0,00:00:00,5,1,59,05:01:59
,2025-04-02 00:00:00+00:00,,80737922,C,,2025-07-24 00:00:00+00:00,A,C,,MH05,0,0,0,00:00:00,5,1,59,05:01:59
,2025-04-02 00:00:00+00:00,,80738040,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738041,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738042,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738043,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738044,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738045,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738046,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738047,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738048,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738049,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738050,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738051,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738052,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738053,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738054,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738055,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738056,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738057,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738058,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738059,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738060,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738061,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738062,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738063,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738064,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738065,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738066,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738067,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738068,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738069,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738070,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738071,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738073,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738074,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738075,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738076,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738077,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738078,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738079,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738080,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738081,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738082,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738083,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738084,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738085,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738086,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738087,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738088,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738089,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738090,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738091,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738092,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738093,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738094,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738095,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738096,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738097,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738098,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738099,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738100,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738101,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738102,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
,2025-04-02 00:00:00+00:00,,80738103,C,,2025-07-24 00:00:00+00:00,A,C,,WB05,0,0,0,00:00:00,5,2,26,05:02:26
