product,productType,crossPlantStatus,crossPlantStatusValidityDate,creationDate,createdByUser,lastChangeDate,lastChangeDateTime,isMarkedForDeletion,productOldId,grossWeight,weightUnit,netWeight,productGroup,baseUnit,division,industrySector,productDescription
S8907367035992,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:39+00:00,False,ABC-WEB-3486,0.012,KG,0.01,ZFG1001,PC,01,M,BODYSPRAY 150ML OUD
S8907367036722,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:45+00:00,False,ABC-WEB-3570,0.012,KG,0.01,ZFG1001,PC,01,M,BLACK POUCH
S8907367037156,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:45+00:00,False,ABC-WEB-3612,0.11,KG,0.1,ZFG1001,PC,01,M,EDP 20ML X 4 A GENTLEMAN'S DESIRE
S8907367038108,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:45+00:00,False,ABC-WEB-3711,0.012,KG,0.01,ZFG1001,PC,01,M,FACEWASH 100ML GLOW PRO
S8907367038122,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:45+00:00,False,ABC-WEB-3713,0.012,KG,0.01,ZFG1001,PC,01,M,GLOW PRO MOISTURISER 50G
S8907367039280,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:45+00:00,False,ABC-WEB-3803,0.012,KG,0.01,ZFG1001,PC,01,M,SUNSCREEN GEL SPF50-PA+++ 50ML
S8907367041993,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:51+00:00,False,ABC-WEB-4052,0.012,KG,0.01,ZFG1001,PC,01,M,Hope 100ml EDP
S8907367042006,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:51+00:00,False,ABC-WEB-4053,0.012,KG,0.01,ZFG1001,PC,01,M,Destiny 100ml EDP
B8907367022787,ZF01,,,2024-12-12 00:00:00+00:00,USER108,2025-09-18 00:00:00+00:00,2025-09-18 11:48:38+00:00,False,ABC-WEB-2319,0.11,KG,0.1,ZFG1001,PC,01,M,BODYSPRAY ACTIVE+BOLD
B8907367024125,ZF01,,,2024-12-12 00:00:00+00:00,USER108,2025-09-18 00:00:00+00:00,2025-09-18 11:48:48+00:00,False,ABC-WEB-2449,0.11,KG,0.1,ZFG1001,PC,01,M,GAS DEO 40ML-PACK 4
B8907367028406,ZF01,,,2024-12-12 00:00:00+00:00,USER108,2025-09-18 00:00:00+00:00,2025-09-18 11:49:10+00:00,False,ABC-WEB-2856,0.11,KG,0.1,ZFG1001,PC,01,M,BLACK EDT 50ML+BOLD GAS DEO 150ML
B8907367039570,ZF01,,,2024-12-12 00:00:00+00:00,USER108,2025-09-18 00:00:00+00:00,2025-09-18 11:47:08+00:00,False,ABC-WEB-3816,0.11,KG,0.1,ZFG1001,PC,01,M,MEN'S PERFUME COMBO - 3 X 100ML
B8907367041603,ZF01,,,2024-12-12 00:00:00+00:00,USER108,2025-09-18 00:00:00+00:00,2025-09-18 11:47:15+00:00,False,ABC-WEB-4018,0.11,KG,0.1,ZFG1001,PC,01,M,"BLACK, BLANC & FIRE EDT COMBO"
S8907367002499,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:08:33+00:00,False,ABC-WEB-243,0.012,KG,0.01,ZFG1001,PC,01,M,HAIRWAX 100G SPORTIVO POMADE
S8907367003342,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:23:55+00:00,False,ABC-WEB-283,0.012,KG,0.01,ZFG1001,PC,01,M,EDP 30ML EFFERUS
S8907367015277,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:24+00:00,False,ABC-WEB-1167,0.012,KG,0.01,ZFG1001,PC,01,M,EDP 100ML INTENSE
S8907367020042,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:24+00:00,False,ABC-WEB-2091,0.012,KG,0.01,ZFG1001,PC,01,M,EDT 100ML JOY
S8907367020783,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:24+00:00,False,ABC-WEB-2263,0.11,KG,0.1,ZFG1001,PC,01,M,BODYSPRAY 150ML ACTIVE
S8907367020790,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:24+00:00,False,ABC-WEB-2265,0.11,KG,0.1,ZFG1001,PC,01,M,BODYSPRAY 150ML BOLD
S8907367023128,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:33+00:00,False,ABC-WEB-2450,0.012,KG,0.01,ZFG1001,PC,01,M,BODYSPRAY 40ML ACTIVE
S8907367023135,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:33+00:00,False,ABC-WEB-2451,0.012,KG,0.01,ZFG1001,PC,01,M,BODYSPRAY 40ML LEGEND
S8907367023142,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:33+00:00,False,ABC-WEB-2452,0.012,KG,0.01,ZFG1001,PC,01,M,BODYSPRAY 40ML INTENSE
S8907367023159,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:33+00:00,False,ABC-WEB-2453,0.012,KG,0.01,ZFG1001,PC,01,M,BODYSPRAY 40ML BOLD
S8907367028659,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:39+00:00,False,ABC-WEB-2910,0.012,KG,0.01,ZFG1001,PC,01,M,BODYLOTION 200ML BLANC
S8907367031635,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:39+00:00,False,ABC-WEB-3125,0.012,KG,0.01,ZFG1001,PC,01,M,EDP 20ML X 4 A GENTLEMAN'S MOODS
S8907367039303,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:45+00:00,False,ABC-WEB-3888,0.012,KG,0.01,ZFG1001,PC,01,M,ABC HAIR GROWTH SERUM 30ML
S8907367759287,ZFS1,,,2024-11-26 00:00:00+00:00,USER108,2025-09-16 00:00:00+00:00,2025-09-16 13:07:51+00:00,False,TWC-WEB-011,0.012,KG,0.01,ZFG1001,PC,01,M,EDP 20ML CLASSY
